,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration
24,33525679,27.0872889599223,-27.7207792885547,01:48:20.95,-27:43:14.8,13.21,14.7381,0.0825,67.85549709864114,11.08582081792089,3.015538,0.33331085,-133.30803,0.0044,18.684828,0,0.0,3844.01,-0.46647,0.0044489720163606245,1.601629925889825e+31,,,,,,,,,
25,423389014,29.196418474534,-0.3535224541768,01:56:47.14,-00:21:12.7,11.14,14.2808,0.0561,70.02619357613327,7.770705400089934,1.755939,0.54246851,-5084.31874,0.01884,21.90453,6,0.2739159434144444,4164.5,-0.27438,0.07897140038472078,2.8429704138499485e+32,0.047,5.6e+33,9.7,0.011,1.2e+33,8.0,0.142,2.1e+34,16.0
26,250363198,29.4239898054971,-3.5649787689637,01:57:41.76,-03:33:53.9,12.01,9.6494,0.1441,103.67787266040196,7.955661612794064,1.997055,0.65812085,-5828.1487,0.03008,21.894807,4,0.18269172228830333,4049.92,-0.33589,0.07048413152481994,2.537428734893518e+32,0.109,2.6e+34,20.0,0.022,2.3e+33,10.0,0.362,9.3e+34,40.0
27,231057252,30.4125920513588,-59.8095840945875,02:01:39.02,-59:48:34.5,13.56,30.7251,0.0659,32.546975919260035,12.453713787028938,3.274702,0.21718942,-1062.85709,0.01032,44.116029000000005,0,0.0,3461.89990234375,-0.74567,0.0016322342754944408,5.876043391779987e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,268765554,31.78281247618,-18.1688412107447,02:07:07.87,-18:10:07.8,12.57,22.3261,0.0651,44.79137525390797,10.652330014856906,2.928267,0.23869947,-2020.62615,0.04083,18.666771,10,0.5357112914708173,4348.2001953125,-0.19045,0.0051433726737549566,1.8516141625517845e+31,0.181,1.6e+33,15.0,0.019,1.2e+32,6.0,0.963,7.3e+33,44.0
29,72667734,33.2838628260896,-25.4490333467831,02:13:08.13,-25:26:56.5,13.78,18.1806,0.0753,55.00553402809061,11.4979190728054,2.984077,0.71107043,-615.62141,0.01823,18.684828,1,0.0535193580588486,4131.13,-0.29153,0.00259086256570012,9.327105236520433e+30,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0
30,72706694,34.008308036965,-27.8215178597695,02:16:01.99,-27:49:17.5,13.16,13.7116,0.0789,72.93564881146608,10.174818746757513,2.697005,0.62355343,-148.28101,0.00493,18.683439,0,0.0,3700.60009765625,-0.56747,0.01129953331479245,4.067831993325282e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,146245416,34.2708049160449,-30.1060221053678,02:17:04.99,-30:06:21.7,12.31,42.6894,0.1784,23.425830014545568,11.933491062104672,3.150243,0.84439391,-2826.68808,0.01667,18.679272,4,0.21414110785473867,3684.5,-0.58746,0.002278177549411737,8.201439177882254e+30,0.051,2e+32,14.0,0.022,1e+32,10.0,0.082,3.1e+32,18.0
32,420031513,35.5957516899397,5.2846950953226,02:22:22.98,+05:17:04.9,11.52,16.6805,0.057,59.95161035338015,8.760629734369115,2.151961,0.78576798,-4873.02209,0.02647,21.903141,4,0.1826222092986572,4002.0,-0.36389,0.03445911370727984,1.2405280934620743e+32,0.036,2e+33,10.5,0.019,9.6e+32,8.0,0.071,3.8e+33,12.0
33,63958788,36.7754670256267,-21.1634660373276,02:27:06.11,-21:09:48.5,13.57,25.5889,0.0863,39.08032076451917,12.160776401622906,3.304201,0.69711909,-942.08748,0.01749,21.925365,0,0.0,3826.0,-0.47514,0.001666270254234154,5.998572915242955e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,122504261,37.8571197619593,-35.0116457006334,02:31:25.71,-35:00:41.9,13.28,28.2978,0.0601,35.3387508384273,11.945368030451622,3.054642,0.51697589,-528.72254,0.01374,18.683439,1,0.05352333689745234,3751.27,-0.53456,0.0021462326516743855,7.726437546027789e+30,0.161,3.5e+32,6.0,0.161,3.5e+32,6.0,0.161,3.5e+32,6.0
35,318839580,41.5060162546658,1.6051066045033,02:46:01.44,+01:36:18.4,13.58,31.7884,0.101,31.458643892541716,12.626304013566829,3.431953,0.47844896,-1041.0396,0.01896,21.883695,2,0.09139224431705889,3795.39990234375,-0.49775,0.0011080985847464187,3.989154905087107e+30,0.069,9e+31,7.0,0.046,8e+31,6.0,0.091,9.9e+31,8.0
36,35857994,41.5538984507533,-4.3323646049478,02:46:12.94,-04:19:56.5,12.49,20.5603,0.0954,48.63947934929769,10.374899412605185,2.717012,0.59747616,-132.20447,0.00269,21.898974,0,0.0,3786.60009765625,-0.5043,0.008866663652408839,3.191998914867182e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,220522527,42.3036865173888,-62.469588343754,02:49:12.88,-62:28:10.5,13.7,17.4385,0.0396,57.34496055076477,11.089370708443795,2.918407,0.96474223,-795.15174,0.01575,69.26109600000001,3,0.04331435933384594,3740.81,-0.54263,0.0047566776735136615,1.7124039624649182e+31,0.07,5.2e+32,9.3,0.058,3.1e+32,6.0,0.091,7.3e+32,14.0
38,368644381,43.5252897400266,5.4533778798023,02:54:06.07,+05:27:12.2,13.18,19.6772,0.0663,50.82137088007954,10.923699121297988,2.839492,0.64029808,-2285.33047,0.02551,21.885084,1,0.045693221922291916,3965.5,-0.3695,0.0047241138554781304,1.7006809879721272e+31,0.087,7.8e+32,12.0,0.087,7.8e+32,12.0,0.087,7.8e+32,12.0
39,23126920,45.9558179183686,-11.3280753260496,03:03:49.40,-11:19:41.1,12.44,23.6976,0.0891,42.199540584867634,10.739584385303358,2.93133,0.70655465,-1465.13417,0.01285,21.832302000000002,5,0.22901845165021992,3692.39990234375,-0.57345,0.006753769857051956,2.4313571485387045e+31,0.098,6.9e+32,7.2,0.056,3.4e+32,6.0,0.211,1.2e+33,10.0
40,439913926,46.2580080007502,-5.9083756323487,03:05:01.92,-05:54:30.2,13.14,32.5067,0.1171,30.76367823332049,12.16711169855779,3.220674,0.40264976,-1025.48531,0.01802,21.889251,7,0.31979166395414804,3552.71,-0.70201,0.002041546663159757,7.349567987375127e+30,0.433,1.8e+33,23.7,0.048,1e+32,6.0,1.06,4.9e+33,52.0
41,207171025,46.4013365364238,-59.8341268640878,03:05:36.32,-59:50:02.9,13.91,25.1626,0.0682,39.7420964602091,12.57003513440917,3.364122,0.68110085,-706.74993,0.0132,44.121585,3,0.06799393086173128,3981.800048828125,-0.35676,0.0010249199443306005,3.689711799590162e+30,0.268,3e+32,7.3,0.056,6.9e+31,6.0,0.546,6.6e+32,10.0
42,301020663,46.7072516309607,-47.0200496046812,03:06:49.74,-47:01:12.2,13.12,18.6107,0.0391,53.732995125301386,10.830893753964887,2.868515,0.64953199,-238.35788,0.00601,18.683439,10,0.5352333689745233,3847.35,-0.46413,0.005614285633170738,2.0211428279414658e+31,0.113,1.2e+33,13.4,0.025,2.2e+32,6.0,0.414,6e+33,40.0
43,137861381,48.1083379809069,-22.1837550127122,03:12:26.00,-22:11:01.5,13.76,23.5625,0.1274,42.4427610219098,11.978663858823248,3.091002,0.32457156,-316.58568,0.00936,21.921198,0,0.0,3675.699951171875,-0.58571,0.002181817657058315,7.854543565409934e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,370138553,48.6128813718651,-74.1422663068229,03:14:27.09,-74:08:32.2,13.72,14.0614,0.2879,71.17482210954229,10.817728048157635,2.901697,0.9044096,-1340.28198,0.00969,98.36342400000001,0,0.0,4154.7998046875,-0.27932,0.004793323952401943,1.7255966228646997e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,207211020,48.942722866792,-59.0914105165691,03:15:46.25,-59:05:29.1,13.85,23.9215,0.0583,41.803887533482964,12.171712646647018,3.156333,0.25781461,-1495.05454,0.0151,44.109084,0,0.0,3669.39990234375,-0.59027,0.0018340996773485703,6.602758838454853e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,176852837,49.7362630856976,-34.5549529652449,03:18:56.70,-34:33:17.8,12.58,32.8074,0.0585,30.481119729856232,11.574927415736063,3.064909,0.33546909,-1424.13865,0.01237,21.83508,0,0.0,3642.94,-0.6221,0.003272419952396782,1.1780711828628417e+31,,,,,,,,,
47,207238086,50.0736704437708,-55.6054852862061,03:20:17.68,-55:36:19.7,12.45,44.245,0.052,22.60148580469945,12.063812048605541,3.049033,0.4606143,-3082.7292,0.01,47.357955000000004,0,0.0,3636.60009765625,-0.61439,0.0020712436348590715,7.456477085492658e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,160008311,51.2025978296695,-41.9241830245233,03:24:48.62,-41:55:27.1,13.87,27.2051,0.0568,36.75812989627758,12.525650959278787,3.342365,0.50790972,-149.76447,0.00929,18.684828,0,0.0,3810.18,-0.4906,0.0012077571361715912,4.3479256902177287e+30,,,,,,,,,
49,142884342,51.6563735390121,-32.337101118039,03:26:37.53,-32:20:13.6,13.17,14.6984,0.0573,68.03663192136611,10.35070696899005,2.823207,0.40142201,-249.96618,0.01611,21.880917,0,0.0,4144.60009765625,-0.28452,0.007405002551364669,2.665800918491281e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,314825931,52.2775307872106,-75.5295746884125,03:29:06.61,-75:31:46.5,13.41,14.0283,0.0351,71.28534395337738,10.45358575287575,2.696538,0.79040547,-1997.1124,0.02606,100.13162100000001,7,0.06990798640920833,3809.59,-0.49103,0.008146624554917296,2.932784839770227e+31,0.15,1.5e+33,8.6,0.06,5.9e+32,6.0,0.306,4.1e+33,16.0
