,Unnamed: 0,Name,ra_epoch2000,dec_epoch2000,RA,DEC,Tmag,parallax,parallax_error,distL1350,MG,bp_rp,LS_Period,Log10_LS_Prob,Amplitude,Duration,flares,flarerate,teff_val,BC,L,Lergs,MeanAmp,MeanEnergy,MeanFlareDuration,MinAmp,MinEnergy,MinFlareDuration,MaxAmp,MaxEnergy,MaxFlareDuration,star_radius,star_mass,star_logg
23,26,250363198,29.4239898054971,-3.5649787689637,01:57:41.76,-03:33:53.9,12.01,9.6494,0.1441,103.67787266040196,7.955661612794064,1.997055,0.65812085,-5828.1487,0.03008,21.894807,4,0.1826917222883033,4049.92,-0.33589,0.0704841315248199,2.537428734893518e+32,0.109,2.6e+34,20.0,0.022,2.3e+33,10.0,0.362,9.299999999999999e+34,40.0,0.651225,0.628044,4.6086
24,27,231057252,30.4125920513588,-59.8095840945875,02:01:39.02,-59:48:34.5,13.56,30.7251,0.0659,32.546975919260035,12.453713787028938,3.274702,0.21718942,-1062.85709,0.01032,44.116029000000005,0,0.0,3461.89990234375,-0.74567,0.0016322342754944,5.876043391779987e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186486,0.155857,5.0895
25,28,268765554,31.78281247618,-18.1688412107447,02:07:07.87,-18:10:07.8,12.57,22.3261,0.0651,44.79137525390797,10.652330014856906,2.928267,0.23869947,-2020.62615,0.04083,18.666771,10,0.5357112914708173,4348.2001953125,-0.19045,0.0051433726737549,1.8516141625517843e+31,0.181,1.6e+33,15.0,0.019,1.2e+32,6.0,0.963,7.3e+33,44.0,0.373855,0.361697,4.85101
26,29,72667734,33.2838628260896,-25.4490333467831,02:13:08.13,-25:26:56.5,13.78,18.1806,0.0753,55.00553402809061,11.4979190728054,2.984077,0.71107043,-615.62141,0.01823,18.684828,1,0.0535193580588486,4131.13,-0.29153,0.0025908625657001,9.327105236520432e+30,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0,0.752,1.9e+33,14.0,0.255358,0.226683,4.97919
27,30,72706694,34.008308036965,-27.8215178597695,02:16:01.99,-27:49:17.5,13.16,13.7116,0.0789,72.93564881146608,10.174818746757513,2.697005,0.62355343,-148.28101,0.00493,18.683439,0,0.0,3700.60009765625,-0.56747,0.0112995333147924,4.067831993325282e+31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37909,0.367698,4.84607
28,31,146245416,34.2708049160449,-30.1060221053678,02:17:04.99,-30:06:21.7,12.31,42.6894,0.1784,23.425830014545568,11.933491062104672,3.150243,0.84439391,-2826.68808,0.01667,18.679272,4,0.2141411078547386,3684.5,-0.58746,0.0022781775494117,8.201439177882254e+30,0.051,2e+32,14.0,0.022,1e+32,10.0,0.082,3.1e+32,18.0,0.2218,0.191017,5.02722
29,32,420031513,35.5957516899397,5.2846950953226,02:22:22.98,+05:17:04.9,11.52,16.6805,0.057,59.95161035338015,8.760629734369115,2.151961,0.78576798,-4873.02209,0.02647,21.903141,4,0.1826222092986572,4002.0,-0.36389,0.0344591137072798,1.2405280934620745e+32,0.036,2e+33,10.5,0.019,9.6e+32,8.0,0.071,3.8e+33,12.0,0.527258,0.524339,4.71363
30,33,63958788,36.7754670256267,-21.1634660373276,02:27:06.11,-21:09:48.5,13.57,25.5889,0.0863,39.08032076451917,12.160776401622906,3.304201,0.69711909,-942.08748,0.01749,21.925365,0,0.0,3826.0,-0.47514,0.0016662702542341,5.998572915242955e+30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217148,0.186237,5.03462
31,34,122504261,37.8571197619593,-35.0116457006334,02:31:25.71,-35:00:41.9,13.28,28.2978,0.0601,35.3387508384273,11.945368030451622,3.054642,0.51697589,-528.72254,0.01374,18.683439,1,0.0535233368974523,3751.27,-0.53456,0.0021462326516743,7.726437546027789e+30,0.161,3.5e+32,6.0,0.161,3.5e+32,6.0,0.161,3.5e+32,6.0,0.21229,0.18129,5.04258
32,35,318839580,41.5060162546658,1.6051066045033,02:46:01.44,+01:36:18.4,13.58,31.7884,0.101,31.458643892541716,12.626304013566829,3.431953,0.47844896,-1041.0396,0.01896,21.883695,2,0.0913922443170588,3795.39990234375,-0.49775,0.0011080985847464,3.989154905087107e+30,0.069,9e+31,7.0,0.046,8e+31,6.0,0.091,9.9e+31,8.0,0.185994,0.155386,5.09048
